"DATE","RES ELE FEET",""
"01/26/2022","420.70",""
"01/27/2022","420.75",""
"01/28/2022","420.68",""
"01/29/2022","420.67",""
"01/30/2022","420.62",""
"01/31/2022","420.60",""
"02/01/2022","420.56",""
"02/02/2022","420.48",""
"02/03/2022","420.50",""
"02/04/2022","420.56",""
"02/05/2022","420.60",""
"02/06/2022","420.47",""
"02/07/2022","420.37",""
"02/08/2022","420.37",""
"02/09/2022","420.36",""
"02/10/2022","420.26",""
"02/11/2022","420.25",""
"02/12/2022","420.34",""
"02/13/2022","420.38",""
"02/14/2022","420.51",""
"02/15/2022","420.60",""
"02/16/2022","420.59",""
"02/17/2022","420.52",""
"02/18/2022","420.38",""
"02/19/2022","420.31",""
"02/20/2022","420.27",""
"02/21/2022","420.17",""
"02/22/2022","420.14",""
"02/23/2022","420.15",""
"02/24/2022","420.25",""
"02/25/2022","420.15",""
"02/26/2022","420.04",""
"02/27/2022","419.94",""
"02/28/2022","419.75",""
"03/01/2022","419.58",""
"03/02/2022","419.42",""
"03/03/2022","419.22",""
"03/04/2022","419.17",""
"03/05/2022","419.29",""
"03/06/2022","419.34",""
"03/07/2022","419.26",""
"03/08/2022","419.25",""
"03/09/2022","419.15",""
"03/10/2022","419.16",""
"03/11/2022","419.16",""
"03/12/2022","419.11",""
"03/13/2022","419.08",""
"03/14/2022","419.19",""
"03/15/2022","419.42",""
"03/16/2022","419.72",""
"03/17/2022","420.01",""
"03/18/2022","420.33",""
"03/19/2022","420.75",""
"03/20/2022","421.21",""
"03/21/2022","421.46",""
"03/22/2022","421.77",""
"03/23/2022","422.32",""
"03/24/2022","422.94",""
"03/25/2022","423.61",""
"03/26/2022","424.20",""
"03/27/2022","424.79",""
"03/28/2022","425.51",""
"03/29/2022","425.98",""
"03/30/2022","426.31",""
"03/31/2022","426.64",""
"04/01/2022","427.03",""
"04/02/2022","427.43",""
"04/03/2022","427.85",""
"04/04/2022","428.18",""
"04/05/2022","428.47",""
"04/06/2022","428.81",""
"04/07/2022","429.16",""
"04/08/2022","429.51",""
"04/09/2022","429.87",""
"04/10/2022","430.21",""
"04/11/2022","430.51",""
"04/12/2022","430.80",""
"04/13/2022","431.01",""
"04/14/2022","431.38",""
"04/15/2022","431.93",""
"04/16/2022","432.73",""
"04/17/2022","433.69",""
"04/18/2022","434.44",""
"04/19/2022","435.25",""
"04/20/2022","435.99",""
"04/21/2022","437.37",""
"04/22/2022","439.06",""
"04/23/2022","440.20",""
"04/24/2022","441.32",""
"04/25/2022","442.27",""
"04/26/2022","443.28",""
"04/27/2022","444.16",""
"04/28/2022","444.97",""
"04/29/2022","445.69",""
"04/30/2022","446.33",""
"05/01/2022","446.98",""
"05/02/2022","447.59",""
"05/03/2022","448.16",""
"05/04/2022","448.84",""
"05/05/2022","449.43",""
"05/06/2022","449.90",""
"05/07/2022","450.51",""
"05/08/2022","450.98",""
"05/09/2022","451.44",""
"05/10/2022","451.71",""
"05/11/2022","451.94",""
"05/12/2022","452.18",""
"05/13/2022","452.35",""
"05/14/2022","452.58",""
"05/15/2022","452.80",""
"05/16/2022","453.10",""
"05/17/2022","453.43",""
"05/18/2022","453.87",""
"05/19/2022","454.17",""
"05/20/2022","454.45",""
"05/21/2022","454.54",""
"05/22/2022","454.65",""
"05/23/2022","454.73",""
"05/24/2022","454.87",""
"05/25/2022","455.06",""
"05/26/2022","455.29",""
"05/27/2022","455.45",""
"05/28/2022","455.52",""
"05/29/2022","455.57",""
"05/30/2022","455.67",""
"05/31/2022","455.69",""
"06/01/2022","455.63",""
"06/02/2022","455.53",""
"06/03/2022","455.48",""
"06/04/2022","455.49",""
"06/05/2022","455.51",""
"06/06/2022","455.53",""
"06/07/2022","455.62",""
"06/08/2022","455.72",""
"06/09/2022","455.75",""
"06/10/2022","455.68",""
"06/11/2022","455.70",""
"06/12/2022","455.64",""
"06/13/2022","455.61",""
"06/14/2022","455.49",""
"06/15/2022","455.48",""
"06/16/2022","455.36",""
"06/17/2022","455.14",""
"06/18/2022","454.97",""
"06/19/2022","454.81",""
"06/20/2022","454.54",""
"06/21/2022","454.33",""
"06/22/2022","454.15",""
"06/23/2022","453.90",""
"06/24/2022","453.64",""
"06/25/2022","453.35",""
"06/26/2022","453.06",""
"06/27/2022","452.54",""
"06/28/2022","451.71",""
"06/29/2022","450.96",""
"06/30/2022","450.14",""
"07/01/2022","449.68",""
"07/02/2022","449.68",""
"07/03/2022","447.83",""
"07/04/2022","446.98",""
"07/05/2022","445.78",""
"07/06/2022","443.90",""
"07/07/2022","444.21",""
"07/08/2022","443.46",""
"07/09/2022","442.88",""
"07/10/2022","441.12",""
"07/11/2022","441.42",""
"07/12/2022","440.77",""
"07/13/2022","440.06",""
"07/14/2022","439.39",""
"07/15/2022","438.76",""
"07/16/2022","438.40",""
"07/17/2022","438.40",""
"07/18/2022","436.51",""
"07/19/2022","435.78",""
"07/20/2022","434.98",""
"07/21/2022","434.24",""
"07/22/2022","433.50",""
"07/23/2022","432.82",""
"07/24/2022","432.12",""
"07/25/2022","431.40",""
"07/26/2022","430.68",""
"07/27/2022","429.94",""
"07/28/2022","429.28",""
"07/29/2022","428.64",""
"07/30/2022","428.02",""
"07/31/2022","427.46",""
"08/01/2022","426.85",""
"08/02/2022","426.12",""
"08/03/2022","425.45",""
"08/04/2022","424.87",""
"08/05/2022","424.30",""
"08/06/2022","423.78",""
"08/07/2022","423.06",""
"08/08/2022","422.38",""
"08/09/2022","421.86",""
"08/10/2022","421.13",""
"08/11/2022","420.41",""
"08/12/2022","419.75",""
"08/13/2022","419.17",""
"08/14/2022","418.62",""
"08/15/2022","418.03",""
"08/16/2022","417.40",""
"08/17/2022","416.86",""
"08/18/2022","416.32",""
"08/19/2022","415.78",""
"08/20/2022","415.30",""
"08/21/2022","414.75",""
"08/22/2022","414.11",""
"08/23/2022","413.59",""
"08/24/2022","412.99",""
